Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
3,3,3,m5,m,Population,Population,0,63,247,42,513,4.199705078,5.336057695,0.787042667,1.270579147,0.787042667,-0.104001723
1,1,3,p5,p,Population,Population,0,410,121,399,99,4.577974443,4.404499491,1.039385849,0.962106614,0.962106614,-0.0167768
2,2,3,p5,p,Population,Population,0,251,155,130,92,3.947251697,4.083533646,0.966626466,1.034525781,1.034525781,0.014741318
3,3,3,p5,p,Population,Population,0,156,54,473,107,5.714409567,5.289014974,1.080429833,0.92555756,0.92555756,-0.033596568
1,1,3,m6,m,Population,Population,0,116,402,28,588,3.183784505,4.985445045,0.638615906,1.565886459,0.638615906,-0.194760269
2,2,3,m6,m,Population,Population,0,93,218,17,179,2.905784037,4.408060929,0.659197793,1.51699537,0.659197793,-0.180984255
3,3,3,m6,m,Population,Population,0,42,248,10,513,3.170085661,5.332017285,0.594537769,1.681978929,0.594537769,-0.225820551
1,1,3,m1,m,Mixed-Clones,Clone,0,122,419,48,508,3.672350152,4.797780714,0.765426844,1.306460581,0.765426844,-0.116096311
2,2,3,m1,m,Mixed-Clones,Clone,0,126,217,28,215,3.101092789,4.595910861,0.674750421,1.482029456,0.674750421,-0.170856836
3,3,3,m1,m,Mixed-Clones,Clone,0,79,191,31,428,3.669709538,5.412019954,0.67806652,1.474781559,0.67806652,-0.168727698
1,1,3,p2,p,Mixed-Clones,Clone,0,374,140,596,73,5.071155056,3.953987205,1.282542101,0.7797015,0.7797015,-0.10807163
2,2,3,p2,p,Mixed-Clones,Clone,0,250,104,188,10,4.320151231,2.26336438,1.908729884,0.523908599,0.523908599,-0.280744473
3,3,3,p2,p,Mixed-Clones,Clone,0,169,8,436,23,5.552913714,5.66122286,0.980868242,1.019504921,1.019504921,0.008389327
2,2,3,m4,m,Mixed-Clones,Clone,0,45,175,13,218,3.363457054,4.824879275,0.697106987,1.434500039,0.697106987,-0.156700564
4,4,3,m4,m,Mixed-Clones,Clone,0,42,150,6,202,2.659260037,4.902802589,0.542395903,1.843671744,0.542395903,-0.2656836
5,5,3,m4,m,Mixed-Clones,Clone,0,60,137,16,235,3.283414346,5.144774774,0.63820371,1.566897818,0.63820371,-0.195040676
1,1,3,m5,m,Mixed-Clones,Clone,0,153,348,51,493,3.506557897,4.95347688,0.707898307,1.412632281,0.707898307,-0.150029126
2,2,3,m5,m,Mixed-Clones,Clone,0,143,198,47,169,3.492473157,4.44680187,0.785389873,1.273252984,0.785389873,-0.104914703
3,3,3,m5,m,Mixed-Clones,Clone,0,42,211,36,509,4.451019506,5.485760069,0.811376992,1.232472709,0.811376992,-0.090777311
